Source,Target,Label,Weight
Appendix L,Otho CXIV,"Richard Bancroft, 1609",1
Appendix XLI,Appendix XXXIX,"Lord William Howard, 1636",1
Augustus I,Cleopatra AII,"William Camden, 1606",1
Augustus I,Cleopatra DV,"William Camden, 1606",1
Augustus I,Domitian I,"William Camden, 1606",1
Augustus I,Faustina BIV,"William Camden, 1606",1
Augustus I,Nero CV,"William Camden, 1606",1
Augustus I,Nero DI,"William Camden, 1606",1
Augustus I,Otho EXI,"John Dodderidge, 1609",1
Augustus I,Tiberius AX,"William Camden, 1606",1
Augustus I,Titus BXII,"William Camden, 1606",1
Augustus I,Titus BXIII,"William Camden, 1606",1
Augustus I,Titus CI,"Thomas Howard, 1625",1
Augustus I,Vespasian AII,"William Camden, 1606",1
Augustus I,Vespasian BXXV,"William Camden, 1606",1
Augustus I,Vespasian DXXI,"William Camden, 1606",1
Augustus I,Vitellius DXV,"William Camden, 1606",1
Augustus I,Vitellius FIX,"William Camden, 1606",1
Augustus I.II31,Augustus I.II32,"John Harington, 1611",1
Augustus I.II31,Augustus I.II33,"John Harington, 1611",1
Augustus I.II31,Augustus I.II34,"John Harington, 1611",1
Augustus I.II31,Augustus I.II35,"John Harington, 1611",1
Augustus I.II32,Augustus I.II33,"John Harington, 1611",1
Augustus I.II32,Augustus I.II34,"John Harington, 1611",1
Augustus I.II32,Augustus I.II35,"John Harington, 1611",1
Augustus I.II33,Augustus I.II34,"John Harington, 1611",1
Augustus I.II33,Augustus I.II35,"John Harington, 1611",1
Augustus I.II34,Augustus I.II35,"John Harington, 1611",1
Augustus II,Caligula AXV,"William Le Neve, 1641",1
Augustus II,Claudius BIV,"William Le Neve, 1641",1
Augustus II,Claudius DIII,"William Le Neve, 1641",1
Augustus II,Cleopatra AIII,"William Le Neve, 1641",1
Augustus II,Faustina AIX,"William Le Neve, 1641",1
Augustus II,Nero DVI,"William Le Neve, 1641",1
Augustus II,Otho CI,"William Le Neve, 1641",1
Augustus II,Otho EI,"William Le Neve, 1641",1
Augustus II,Vespasian CXIV,"William Le Neve, 1641",1
Augustus II,Vitellius CIV,"William Le Neve, 1641",1
Augustus II,Vitellius CV,"William Le Neve, 1641",1
Caligula AIII,Caligula DIX,"Edward Herbert, 1636",1
Caligula AIII,Caligula DVI,"Edward Herbert, 1636",1
Caligula AIII,Caligula DVII,"Edward Herbert, 1636",1
Caligula AIII,Caligula DVIII,"Edward Herbert, 1636",1
Caligula AIII,Caligula DX,"Edward Herbert, 1636",1
Caligula AIII,Caligula DXI,"Edward Herbert, 1636",1
Caligula AIII,Caligula DXII,"Edward Herbert, 1636",1
Caligula AIII,Caligula EIV,"Edward Herbert, 1636",1
Caligula AIII,Cleopatra AXIV,"Edward Herbert, 1636",1
Caligula AIII,Cleopatra BV,"Edward Herbert, 1636",1
Caligula AIII,Faustina EVII,"Edward Herbert, 1636",1
Caligula AIII,Julius FVI,"Edward Herbert, 1636",1
Caligula AIII,Otho CX,"Edward Herbert, 1636",1
Caligula AIII,Titus BI,"Edward Herbert, 1636",1
Caligula AIII,Titus DII,"Edward Herbert, 1636",1
Caligula AIII,Titus DIX,"Edward Herbert, 1636",1
Caligula AIII,Vespasian FIX,"Edward Herbert, 1636",1
Caligula AIII,Vitellius BXXI,"Edward Herbert, 1636",1
Caligula AIII,Vitellius CXI,"Edward Herbert, 1636",1
Caligula AIII,Vitellius CXVI,"Edward Herbert, 1636",1
Caligula AIV,Claudius AIII,"John Selden, unknown date",1
Caligula AIV,Claudius AXI,"John Selden, 1638",1
Caligula AIV,Claudius EI,"John Selden, 1638",1
Caligula AIV,Claudius EIV,"John Selden, 1638",1
Caligula AIV,Cleopatra AIII,"John Selden, 1638",1
Caligula AIV,Cleopatra BIII,"John Selden, 1640",1
Caligula AIV,Cleopatra CX,"John Selden, 1640",1
Caligula AIV,Cleopatra DI,"John Selden, 1638",1
Caligula AIV,Cleopatra DV,"John Selden, 1638",1
Caligula AIV,Cleopatra EIV,"John Selden, 1640",1
Caligula AIV,Cleopatra EV,"John Selden, 1640",1
Caligula AIV,Cleopatra FI,"John Selden, 1640",1
Caligula AIV,Cleopatra FII,"John Selden, 1640",1
Caligula AIV,Cleopatra FIII,"John Selden, 1638",1
Caligula AIV,Cleopatra FVI,"John Selden, 1638",1
Caligula AIV,Domitian I,"John Selden, 1638",1
Caligula AIV,Domitian V,"John Selden, 1638",1
Caligula AIV,Faustina AIII,"John Selden, unknown date",1
Caligula AIV,Faustina BIX,"John Selden, 1638",1
Caligula AIV,Faustina CIV,"John Selden, 1638",1
Caligula AIV,Galba AIX,"John Selden, 1638",1
Caligula AIV,Galba AX,"John Selden, 1638",1
Caligula AIV,Julius AXI,"John Selden, 1640",1
Caligula AIV,Julius BVIII,"John Selden, 1638;John Selden, unknown date",2
Caligula AIV,Julius BXIII,"John Selden, 1638",1
Caligula AIV,London British Library Additional MS 33216,"John Selden, 1640",1
Caligula AIV,Nero AVII,"John Selden, 1638",1
Caligula AIV,Nero AXVII,"John Selden, 1638",1
Caligula AIV,Nero CIX,"John Selden, 1638",1
Caligula AIV,Nero DI,"John Selden, 1638",1
Caligula AIV,Nero DVI,"John Selden, 1638",1
Caligula AIV,Nero DVIII,"John Selden, 1638",1
Caligula AIV,Nero EVI,"John Selden, 1638",1
Caligula AIV,Otho AXVI,"John Selden, unknown date",1
Caligula AIV,Otho BV,"John Selden, 1638",1
Caligula AIV,Otho EVII,"John Selden, 1638",1
Caligula AIV,Otho EX,"John Selden, 1638",1
Caligula AIV,Tiberius AI,"John Selden, 1638",1
Caligula AIV,Tiberius AIX,"John Selden, unknown date",1
Caligula AIV,Tiberius BX,"John Selden, 1638",1
Caligula AIV,Tiberius BXIII,"John Selden, 1638",1
Caligula AIV,Tiberius CIII,"John Selden, 1638",1
Caligula AIV,Tiberius CIX,"John Selden, 1638",1
Caligula AIV,Tiberius CV,"John Selden, 1638",1
Caligula AIV,Tiberius CXIII,"John Selden, 1640",1
Caligula AIV,Titus AVIII,"John Selden, unknown date",1
Caligula AIV,Titus BV,"John Selden, 1638",1
Caligula AIV,Titus EI,"John Selden, 1640",1
Caligula AIV,Titus EII,"John Selden, 1638",1
Caligula AIV,Titus EIII,"John Selden, 1640;John Selden, 1638",2
Caligula AIV,Titus EIV,"John Selden, 1640;John Selden, 1638",2
Caligula AIV,Titus EIX,"John Selden, 1640",1
Caligula AIV,Titus EV,"John Selden, 1640",1
Caligula AIV,Titus EVI,"John Selden, 1640",1
Caligula AIV,Titus EVII,"John Selden, 1640",1
Caligula AIV,Titus EVIII,"John Selden, 1640",1
Caligula AIV,Titus EX,"John Selden, 1640",1
Caligula AIV,Titus EXI,"John Selden, 1640",1
Caligula AIV,Titus EXII,"John Selden, 1640",1
Caligula AIV,Titus EXIII,"John Selden, 1640",1
Caligula AIV,Titus EXIV,"John Selden, 1640",1
Caligula AIV,Vespasian AXII,"John Selden, 1638",1
Caligula AIV,Vespasian BXIX,"John Selden, 1640",1
Caligula AIV,Vespasian CXIII,"John Selden, 1638",1
Caligula AIV,Vespasian DX,"John Selden, 1640",1
Caligula AIV,Vespasian EIII,"John Selden, unknown date",1
Caligula AIV,Vitellius AIV,"John Selden, 1638",1
Caligula AIV,Vitellius CIV,"John Selden, 1638",1
Caligula AIV,Vitellius CX,"John Selden, 1638",1
Caligula AIV,Vitellius DII,"John Selden, 1638",1
Caligula AIV,Vitellius DV,"John Selden, 1640",1
Caligula AIV,Vitellius DXV,"John Selden, 1638",1
Caligula AIV,Vitellius EV,"John Selden, 1638",1
Caligula AIV,Vitellius EVI,"John Selden, 1638",1
Caligula AIV,Vitellius FXIX,"John Selden, 1638",1
Caligula AIV,Vitellius FXVIII,"John Selden, 1638",1
Caligula AVIII,Claudius BII,"Richard Bancroft, 1608",1
Caligula AVIII,Claudius DVI,"Richard Bancroft, 1608",1
Caligula AVIII,Claudius EIII,"Richard Bancroft, 1608",1
Caligula AVIII,Claudius EVIII,"Richard Bancroft, 1608",1
Caligula AVIII,Cleopatra DIX,"Richard Bancroft, 1608",1
Caligula AVIII,Cleopatra EI,"Richard Bancroft, 1608",1
Caligula AVIII,Cleopatra EII,"Richard Bancroft, 1608",1
Caligula AVIII,Cleopatra EIII,"Richard Bancroft, 1608",1
Caligula AVIII,Cleopatra FI,"Richard Bancroft, 1608",1
Caligula AVIII,Cleopatra FII,"Richard Bancroft, 1608",1
Caligula AVIII,Domitian XI,"Richard Bancroft, 1608",1
Caligula AVIII,Faustina BI,"Richard Bancroft, 1608",1
Caligula AVIII,Galba AI,"Richard Bancroft, 1608",1
Caligula AVIII,Galba EX,"Richard Bancroft, 1608",1
Caligula AVIII,Julius AXI,"Richard Bancroft, 1608",1
Caligula AVIII,Nero AV,"Richard Bancroft, 1608",1
Caligula AVIII,Nero AVIII,"Richard Bancroft, 1608",1
Caligula AVIII,Nero AXV,"Richard Bancroft, 1608",1
Caligula AVIII,Nero AXVI,"Richard Bancroft, 1608",1
Caligula AVIII,Nero CV,"Richard Bancroft, 1608",1
Caligula AVIII,Nero DI,"Richard Bancroft, 1608",1
Caligula AVIII,Nero DII,"Richard Bancroft, 1608",1
Caligula AVIII,Otho BIII,"Richard Bancroft, 1608",1
Caligula AVIII,Otho BV,"Richard Bancroft, 1608",1
Caligula AVIII,Otho DVIII,"Richard Bancroft, 1608",1
Caligula AVIII,Otho EV,"Richard Bancroft, 1608",1
Caligula AVIII,Tiberius AIX,"Richard Bancroft, 1608",1
Caligula AVIII,Tiberius AX,"Richard Bancroft, 1608",1
Caligula AVIII,Tiberius CVII,"Richard Bancroft, 1608",1
