Source,Target,Label,Weight
Appendix L,Caligula AVIII,Richard Bancroft,1
Appendix L,Claudius BII,Richard Bancroft,1
Appendix L,Claudius DVI,Richard Bancroft,1
Appendix L,Claudius EIII,Richard Bancroft,1
Appendix L,Claudius EVIII,Richard Bancroft,1
Appendix L,Cleopatra DIX,Richard Bancroft,1
Appendix L,Cleopatra EI,Richard Bancroft,1
Appendix L,Cleopatra EII,Richard Bancroft,1
Appendix L,Cleopatra EIII,Richard Bancroft,1
Appendix L,Cleopatra FI,Richard Bancroft,1
Appendix L,Cleopatra FII,Richard Bancroft,1
Appendix L,Domitian XI,Richard Bancroft,1
Appendix L,Domitian XV,Richard Bancroft,1
Appendix L,Faustina BI,Richard Bancroft,1
Appendix L,Galba AI,Richard Bancroft,1
Appendix L,Galba EX,Richard Bancroft,1
Appendix L,Julius AXI,Richard Bancroft,1
Appendix L,Nero AV,Richard Bancroft,1
Appendix L,Nero AVIII,Richard Bancroft,1
Appendix L,Nero AXV,Richard Bancroft,1
Appendix L,Nero AXVI,Richard Bancroft,1
Appendix L,Nero CV,Richard Bancroft,1
Appendix L,Nero DI,Richard Bancroft,1
Appendix L,Nero DII,Richard Bancroft,1
Appendix L,Otho BIII,Richard Bancroft,1
Appendix L,Otho BV,Richard Bancroft,1
Appendix L,Otho CXIV,Richard Bancroft,1
Appendix L,Otho DVIII,Richard Bancroft,1
Appendix L,Otho EV,Richard Bancroft,1
Appendix L,Tiberius AIX,Richard Bancroft,1
Appendix L,Tiberius AX,Richard Bancroft,1
Appendix L,Tiberius CVII,Richard Bancroft,1
Appendix L,Tiberius CXIII,Richard Bancroft,1
Appendix L,Titus AI,Richard Bancroft,1
Appendix L,Titus BI,Richard Bancroft,1
Appendix L,Titus DXI,Richard Bancroft,1
Appendix L,Vespasian BXIX,Richard Bancroft,1
Appendix L,Vespasian DIV,Richard Bancroft,1
Appendix L,Vespasian FXIII,Richard Bancroft,1
Appendix L,Vitellius DVII,Richard Bancroft,1
Appendix L,Vitellius DXI,Richard Bancroft,1
Appendix L,Vitellius DXV,Richard Bancroft,1
Appendix L,Vitellius EIV,Richard Bancroft,1
Appendix L,Vitellius EXI,Richard Bancroft,1
Appendix L,Vitellius EXIV,Richard Bancroft,1
Appendix L,Vitellius EXVII,Richard Bancroft,1
Appendix L,Vitellius FIX,Richard Bancroft,1
Appendix XLI,Appendix XXXIX,Lord William Howard,1
Appendix XLI,Claudius AVIII,Lord William Howard,1
Appendix XLI,Claudius BVII,Lord William Howard,1
Appendix XLI,Claudius DVII,Lord William Howard,1
Appendix XLI,Cleopatra FVI,Lord William Howard,1
Appendix XLI,Nero CIV,Lord William Howard,1
Appendix XLI,Nero DXI,Lord William Howard,1
Appendix XLI,Otho DIII,Lord William Howard,1
Appendix XLI,Tiberius CVI,Lord William Howard,1
Appendix XLI,Tiberius EVI,Lord William Howard,1
Appendix XLI,Titus BII,Lord William Howard,1
Appendix XLI,Titus CI,Lord William Howard,1
Appendix XLI,Titus EIX,Lord William Howard,1
Appendix XLI,Titus EVII,Lord William Howard,1
Appendix XLI,Titus EVIII,Lord William Howard,1
Appendix XLI,Vespasian DXVIII,Lord William Howard,1
Appendix XLI,Vitellius BII,Lord William Howard,1
Appendix XXXIX,Claudius AVIII,Lord William Howard,1
Appendix XXXIX,Claudius BVII,Lord William Howard,1
Appendix XXXIX,Claudius DVII,Lord William Howard,1
Appendix XXXIX,Cleopatra FVI,Lord William Howard,1
Appendix XXXIX,Nero CIV,Lord William Howard,1
Appendix XXXIX,Nero DXI,Lord William Howard,1
Appendix XXXIX,Otho DIII,Lord William Howard,1
Appendix XXXIX,Tiberius CVI,Lord William Howard,1
Appendix XXXIX,Tiberius EVI,Lord William Howard,1
Appendix XXXIX,Titus BII,Lord William Howard,1
Appendix XXXIX,Titus CI,Lord William Howard,1
Appendix XXXIX,Titus EIX,Lord William Howard,1
Appendix XXXIX,Titus EVII,Lord William Howard,1
Appendix XXXIX,Titus EVIII,Lord William Howard,1
Appendix XXXIX,Vespasian DXVIII,Lord William Howard,1
Appendix XXXIX,Vitellius BII,Lord William Howard,1
Augustus I,Caligula BX,William Camden,1
Augustus I,Caligula EVIII,William Camden,1
Augustus I,Caligula EX,William Camden,1
Augustus I,Caligula EXI,William Camden,1
Augustus I,Caligula EXII,William Camden,1
