Source,Target
laments,OxfCCC237
laments,NLS1931
laments,Lincoln91
laments,Lam560
prologues,BodAsh61
prologues,BodRawC813
prologues,OxfCCC237
prologues,NLS1931
prologues,Lincoln91
prologues,Lam560
sinners,BodAsh61
sinners,BodRawC813
sinners,OxfCCC237
sinners,NLS1931
sinners,Lincoln91
sinners,Lam560
adultery,BodAsh61
romances,BodAsh61
adultery,BodSelSup52
adultery,BodAsh42
adultery,BodEngPoeta1
adultery,CULAdd8335
adultery,CULDd11
adultery,BLAdd22283
adultery,BLAdd38010
adultery,BLHar2391
adultery,Lam260
adultery,MinULZ822
adultery,HunHM129
clergy,BodSelSup52
clergy,BodAsh42
clergy,BodEngPoeta1
clergy,CULAdd8335
clergy,CULDd11
clergy,BLAdd22283
clergy,BLAdd38010
clergy,BLHar2391
clergy,Lam260
clergy,MinULZ822
clergy,HunHM129
penitence,BodSelSup52
penitence,BodAsh42
penitence,BodEngPoeta1
penitence,CULAdd8335
penitence,CULDd11
penitence,BLAdd22283
penitence,BLAdd38010
penitence,BLHar2391
penitence,Lam260
penitence,MinULZ822
penitence,HunHM129
confession,BodSelSup52
confession,BodAsh42
confession,BodEngPoeta1
confession,CULAdd8335
confession,CULDd11
confession,BLAdd22283
confession,BLAdd38010
confession,BLHar2391
confession,Lam260
confession,MinULZ822
confession,HunHM129
exempla,BodSelSup52
exempla,BodAsh42
exempla,BodEngPoeta1
exempla,CULAdd8335
exempla,CULDd11
exempla,BLAdd22283
exempla,BLAdd38010
exempla,BLHar2391
exempla,Lam260
exempla,MinULZ822
exempla,HunHM129
sermons,WorcF126
adultery,WorcF126
adultery,OxfLinLat129
aphorisms,OxfLinLat129
women,OxfLinLat129
adultery,EDU27
translations,EDU27
adultery,BodRawPoe118
adultery,BodAsh61
adultery,CULEe435a
adultery,CULFf238
adultery,CULFf548
adultery,BLHar5396
adultery,Lam306
adultery,TokyoTak32
tales,BodRawPoe118
tales,BodAsh61
tales,CULEe435a
tales,CULFf238
tales,CULFf548
tales,BLHar5396
tales,Lam306
tales,TokyoTak32
adultery,NLS1921
tales,NLS1921
tales,CULFf548
adultery,CULFf548
fabliaux,CULFf548
adultery,CULDd645
cuckoldry,CULDd645
proverbs,CULDd645
women,BodDou52
women,BLSl1210
women,RylandsLat394
adultery,BodDou52
adultery,BLSl1210
adultery,RylandsLat394
body,BodDou52
body,BLSl1210
body,RylandsLat394
comic verse,BodDou52
comic verse,BLSl1210
comic verse,RylandsLat394
erotic verse,BodDou52
erotic verse,BLSl1210
erotic verse,RylandsLat394
nonsense,TCD516
adultery,TCD516
cuckoldry,TCD516
sermons,Bod26
Advent,Bod26
Advent,BodAsh42
Advent,BodEngPoeta1
Advent,CULDd11
Advent,CULGg531
Advent,BLAdd30358
Advent,BLAdd38010
Advent,EDCPCM
Advent,Lam260
songs,BLAdd5665
Advent,BLAdd5665
adversity,BodAddB60
virtues,BodAddB60
advice,BodAddB60
adversity,CamMagPep2553
Fortune,BodFair24
Dunbar (Scotland),BodFair24
adversity,BodFair24
greed,NLS18721
advice,NLS18721
sermons,CULKk424
advice,CULKk424
aphorisms,CULKk424
sermons,CULKk424
advice,CULKk424
sin,CULKk424
mercy,CULKk424
warnings,BLHar116
advice,BLHar116
envoys,BLHar372
advice,BLHar372
marriage,BLHar372
sermons,BodLatTheD1
Christ,BodLatTheD1
advice,BodLatTheD1
aphorisms,CULIi326
advice,CULIi326
advice,CULGg4271b
advice,CamTCC600
verse curse,CULGg4271b
verse curse,CamTCC600
chastisement,CULGg4271b
chastisement,CamTCC600
manuscripts,CULGg4271b
manuscripts,CamTCC600
advice,CULLl510
advice,CamMagPep2553
advice,Banna
greed,CULLl510
greed,CamMagPep2553
greed,Banna
