Id,Label,Type
Guilliame de Lorris,Guilliame de Lorris,Author
Jean de Meun,Jean de Meun,Author
John Hurleston,John Hurleston,Author
Henry Berry,Henry Berry,Author
William Thorpe,William Thorpe,Author
John Marion,John Marion,Author
William Wey,William Wey,Author
Ranulph Higden,Ranulph Higden,Author
Carter,Carter,Author
Edmund Turges,Edmund Turges,Author
Henry Lovelich,Henry Lovelich,Author
William de la Pole,William de la Pole,Author
Alain Chartier,Alain Chartier,Author
Peter Langtoft,Peter Langtoft,Author
Robert Mannyng,Robert Mannyng,Author
Laurence Minot,Laurence Minot,Author
Richard Fannande ironmonger of Abingdon,Richard Fannande ironmonger of Abingdon,Author
Sir Richard Holland,Sir Richard Holland,Author
John Clanvowe,John Clanvowe,Author
Stephen Batman,Stephen Batman,Author
William Wymondham,William Wymondham,Author
Georg Barclay,Georg Barclay,Author
James Ryman,James Ryman,Author
Robert Copland,Robert Copland,Author
Richard Smert,Richard Smert,Author
William Stewart,William Stewart,Author
Thomas Wyatt,Thomas Wyatt,Author
Sir Thomas Phelipps,Sir Thomas Phelipps,Author
William Cornish,William Cornish,Author
John Rastell,John Rastell,Author
James Rayman,James Rayman,Author
Sheringham,Sheringham,Author
Hugh Campeden,Hugh Campeden,Author
Adam of Cobsam,Adam of Cobsam,Author
Symon,Symon,Author
Richard Newton,Richard Newton,Author
John Capgrave,John Capgrave,Author
Augustine of Hippo,Augustine of Hippo,Author
Philip the Chancelor,Philip the Chancelor,Author
William Herebert,William Herebert,Author
William Billyng,William Billyng,Author
John Arcuarius OSA,John Arcuarius OSA,Author
Richardoune,Richardoune,Author
Prudentius,Prudentius,Author
Robert of Brunne,Robert of Brunne,Author
John of Hoveden,John of Hoveden,Author
Palden,Palden,Author
John Clerk,John Clerk,Author
Walter Hilton,Walter Hilton,Author
Reginald Pecock,Reginald Pecock,Author
John Redford,John Redford,Author
Laȝamon,Laȝamon,Author
John de Fordun,John de Fordun,Author
Andrew Wintoun,Andrew Wintoun,Author
Virgil,Virgil,Author
William Peeris,William Peeris,Author
John Hardyng,John Hardyng,Author
Robert of Gloucester,Robert of Gloucester,Author
Lonuyon,Lonuyon,Author
Thomas Castelford of Bek,Thomas Castelford of Bek,Author
William Colyngbourne,William Colyngbourne,Author
Langtoft,Langtoft,Author
Robert Fabyan,Robert Fabyan,Author
John Pigott,John Pigott,Author
Ovid,Ovid,Author
John Merely,John Merely,Author
John Mirk,John Mirk,Author
Walter Mapes,Walter Mapes,Author
Wynkyn de Worde,Wynkyn de Worde,Author
"Percival, Premonstratensian Canon at Coverham Abbey, Yorkshire","Percival, Premonstratensian Canon at Coverham Abbey, Yorkshire",Author
Thomas Howard,Thomas Howard,Author
Oton de Graunson Sir,Oton de Graunson Sir,Author
Halsham,Halsham,Author
Anthony Wydeville (earl Rivers),Anthony Wydeville (earl Rivers),Author
John Gower,John Gower,Author
John Russell,John Russell,Author
Farnelay,Farnelay,Author
William of Shoreham,William of Shoreham,Author
"Aldred, Bishop of York","Aldred, Bishop of York",Author
Richard Pynson,Richard Pynson,Author
Stephen Scrope,Stephen Scrope,Author
"Richard Beauchamp, earl of Warwick","Richard Beauchamp, earl of Warwick",Author
Francesco Petrarch,Francesco Petrarch,Author
William Lichfield,William Lichfield,Author
Thomas More,Thomas More,Author
Dorothy Bokenham,Dorothy Bokenham,Author
Bernardus Sylvestris,Bernardus Sylvestris,Author
William Langland,William Langland,Author
John Crophill,John Crophill,Author
Adam Davy,Adam Davy,Author
Claudianus,Claudianus,Author
James Packe,James Packe,Author
Thomas Ashwell,Thomas Ashwell,Author
Humphrey Brereton,Humphrey Brereton,Author
Roos Roos,Roos Roos,Author
Rotheley,Rotheley,Author
Christine de Pisan,Christine de Pisan,Author
Anthony Babington,Anthony Babington,Author
Henry VI,Henry VI,Author
Saint Gregory,Saint Gregory,Author
Aesop,Aesop,Author
Edward Stafford,Edward Stafford,Author
Augustine,Augustine,Author
John Butler Mayor of Waterford,John Butler Mayor of Waterford,Author
John Paston III,John Paston III,Author
Impingham,Impingham,Author
Laurence Calot,Laurence Calot,Author
Giraldus Cambrensis,Giraldus Cambrensis,Author
Reginald,Reginald,Author
Saint Anselm of Canterbury,Saint Anselm of Canterbury,Author
John Midwinter,John Midwinter,Author
John Page,John Page,Author
John Barbour,John Barbour,Author
Twici,Twici,Author
John Lacy,John Lacy,Author
Juliana Berners,Juliana Berners,Author
Richard de Caistre,Richard de Caistre,Author
Richard Spaldyng,Richard Spaldyng,Author
Jevan ap Rydderch ap Jevan Lloyd,Jevan ap Rydderch ap Jevan Lloyd,Author
Athelstan,Athelstan,Author
John de Gaytryge,John de Gaytryge,Author
Edmund Rich Archibishop of Canterbury,Edmund Rich Archibishop of Canterbury,Author
Peter Idley,Peter Idley,Author
Thomas Chestre,Thomas Chestre,Author
Henry Baradoun,Henry Baradoun,Author
Sir John Fortescue,Sir John Fortescue,Author
Henry Medwall,Henry Medwall,Author
"Reynold, lord Grey of Ruthin","Reynold, lord Grey of Ruthin",Author
John Pympe,John Pympe,Author
John Paston I,John Paston I,Author
Thomas de Hales O.F.M.,Thomas de Hales O.F.M.,Author
Lawrence Breton,Lawrence Breton,Author
Margery Brews,Margery Brews,Author
Queen Elizabeth of York,Queen Elizabeth of York,Author
Robert St. Mary (clerk),Robert St. Mary (clerk),Author
John Mersar,John Mersar,Author
W. Coullicke,W. Coullicke,Author
Duke of York,Duke of York,Author
T. Roos,T. Roos,Author
Walter Fry,Walter Fry,Author
Gilbert Banester,Gilbert Banester,Author
Bartholomeus Anglicus,Bartholomeus Anglicus,Author
John Quixley,John Quixley,Author
Nicholas of Salerno,Nicholas of Salerno,Author
Bridlington,Bridlington,Author
Merlin,Merlin,Author
Banistor,Banistor,Author
Thomas Assheldon,Thomas Assheldon,Author
Gilbert Bannister,Gilbert Bannister,Author
Saint Benedict of Nursia,Saint Benedict of Nursia,Author
Lichtoun,Lichtoun,Author
Nicholas Wikes,Nicholas Wikes,Author
Saint Jerome,Saint Jerome,Author
Richard Maydestone,Richard Maydestone,Author
Gilbert Banastar,Gilbert Banastar,Author
John Waldeby,John Waldeby,Author
Walter of Guisborough,Walter of Guisborough,Author
William Meniman,William Meniman,Author
Richard Lavynham,Richard Lavynham,Author
Thomas Lavynham,Thomas Lavynham,Author
Eleanor Percy (duchess of Buckingham),Eleanor Percy (duchess of Buckingham),Author
Thomas Brampton,Thomas Brampton,Author
Thomas Aquinas,Thomas Aquinas,Author
"Alfred the Great, king","Alfred the Great, king",Author
Cato,Cato,Author
W. Hichecoke,W. Hichecoke,Author
Thomas Erceldoune of,Thomas Erceldoune of,Author
Wyllughby,Wyllughby,Author
Walter de Henley,Walter de Henley,Author
R. Stokys,R. Stokys,Author
Richard Hatfield,Richard Hatfield,Author
Guide de Colonna,Guide de Colonna,Author
Gilbert Hay,Gilbert Hay,Author
John Metham,John Metham,Author
Laurence Wade,Laurence Wade,Author
William Paris,William Paris,Author
James Inglis,James Inglis,Author
Thomas Brinton,Thomas Brinton,Author
Orm,Orm,Author
Friar Michael Kildare,Friar Michael Kildare,Author
Seneca,Seneca,Author
"Hendred, prior of Leominster","Hendred, prior of Leominster",Author
Roger North,Roger North,Author
Ausonius,Ausonius,Author
Flavius Vegetius,Flavius Vegetius,Author
John Mandeville,John Mandeville,Author
William of Tours,William of Tours,Author
H. Bowesper,H. Bowesper,Author
Lynne,Lynne,Author
Giovanni Boccaccio,Giovanni Boccaccio,Author
Robert Jernegan,Robert Jernegan,Author
John Bristow,John Bristow,Author
Thomas Lower,Thomas Lower,Author
Richard Hutton (c. xvi),Richard Hutton (c. xvi),Author
