Id,Label,Type
Unknown,Unknown,Author
John Grimestone,John Grimestone,Author
John Ball,John Ball,Author
William Dunbar,William Dunbar,Author
Charles d’Orléans,Charles d’Orléans,Author
Humfrey Newton,Humfrey Newton,Author
John Lydgate,John Lydgate,Author
John Wilson,John Wilson,Author
John Skelton,John Skelton,Author
William Huchen,William Huchen,Author
Friar Nicholas Philip,Friar Nicholas Philip,Author
Geoffrey Chaucer,Geoffrey Chaucer,Author
William of Nassington,William of Nassington,Author
Richard Kaye,Richard Kaye,Author
Hendyng,Hendyng,Author
John Walton,John Walton,Author
Boethius,Boethius,Author
Richard Rolle,Richard Rolle,Author
Nicholas Bozon,Nicholas Bozon,Author
John Audelay,John Audelay,Author
John of Bromyard,John of Bromyard,Author
Thomas Hoccleve,Thomas Hoccleve,Author
Walter Kennedy,Walter Kennedy,Author
Bernard of Clairvaux,Bernard of Clairvaux,Author
John Lucas,John Lucas,Author
"James I, king of Scotland","James I, king of Scotland",Author
John Trevisa,John Trevisa,Author
Henry VII,Henry VII,Author
George Cely,George Cely,Author
Benedict Burgh,Benedict Burgh,Author
Richard Sellyng,Richard Sellyng,Author
William Caxton,William Caxton,Author
John Shirley,John Shirley,Author
George Ashby,George Ashby,Author
Stephen Hawes,Stephen Hawes,Author
Osbern Bokenam,Osbern Bokenam,Author
Henry VIII,Henry VIII,Author
Robert Henryson,Robert Henryson,Author
Palladius,Palladius,Author
George Ripley,George Ripley,Author
Geber,Geber,Author
Arnoldus de Villa Nova,Arnoldus de Villa Nova,Author
Albertus Magnus,Albertus Magnus,Author
Richard Carpenter,Richard Carpenter,Author
William Bolosse,William Bolosse,Author
Pearce the Black Monk,Pearce the Black Monk,Author
Thomas Norton,Thomas Norton,Author
Piers of Fulham,Piers of Fulham,Author
William Nevill,William Nevill,Author
Gawin Douglas,Gawin Douglas,Author
Robert Grosseteste,Robert Grosseteste,Author
Guillaume Deguileville,Guillaume Deguileville,Author
