Source,Target,Label,Weight
Catherine of Aragon,Katherine of Alexandria,DIMEV 2203,1
Catherine of Aragon,occasional verse,DIMEV 2747;DIMEV 2203;DIMEV 5877;DIMEV 6555;DIMEV 5881;DIMEV 2106;DIMEV 3309;DIMEV 2118;DIMEV 3314,9
Catherine of Aragon,pageant verses,DIMEV 2747;DIMEV 2203;DIMEV 5877;DIMEV 6555;DIMEV 5881;DIMEV 2106;DIMEV 3309;DIMEV 2118;DIMEV 3314,9
Cato,advice to princes,DIMEV 225,1
Caxton,epitaphs,DIMEV 3570,1
Cecilia,saints’ lives,DIMEV 5997;DIMEV 2803,2
Celestin,saints’ lives,DIMEV 352,1
Chalker,political poems,DIMEV 3632,1
Chalker,satire,DIMEV 3632,1
Charlemagne,David,DIMEV 3154,1
Charlemagne,exempla,DIMEV 1818,1
Chester castle,chronicles,DIMEV 2748,1
Chichele,Woode,DIMEV 5047,1
Christ,Adam,DIMEV 293,1
Christ,Apocalypse,DIMEV 2261,1
Christ,Ascension,DIMEV 566,1
Christ,Assumption,DIMEV 1049,1
Christ,Christ,DIMEV 2829;DIMEV 1336;DIMEV 5425;DIMEV 3918;DIMEV 5493,5
Christ,Cross,DIMEV 1758;DIMEV 2903,2
Christ,Disciples,DIMEV 2582,1
Christ,Eucharist,DIMEV 2756;DIMEV 2946,2
Christ,John the apostle,DIMEV 3271,1
Christ,Last Supper,DIMEV 1874,1
Christ,Mary Magdalene,DIMEV 1429,1
Christ,Nativity,DIMEV 356;DIMEV 1822,2
Christ,Passion,DIMEV 1088;DIMEV 3357;DIMEV 5825;DIMEV 4388;DIMEV 6337;DIMEV 1061;DIMEV 1165;DIMEV 6335;DIMEV 2431;DIMEV 2847;DIMEV 4083;DIMEV 2842;DIMEV 1771;DIMEV 787;DIMEV 5051;DIMEV 2829;DIMEV 2900;DIMEV 1703;DIMEV 3229,19
Christ,Satan,DIMEV 2881;DIMEV 5639,2
Christ,Virgin Mary,DIMEV 295;DIMEV 273;DIMEV 6709;DIMEV 807;DIMEV 2507;DIMEV 3595;DIMEV 4360;DIMEV 4009;DIMEV 3918;DIMEV 2388;DIMEV 5071;DIMEV 3271;DIMEV 1049;DIMEV 3028,14
Christ,advice,DIMEV 1041;DIMEV 3174;DIMEV 170;DIMEV 5175,4
Christ,alchemy,DIMEV 3857,1
Christ,aphorisms,DIMEV 5383;DIMEV 659,2
Christ,astrology/astronomy,DIMEV 454,1
Christ,carols,DIMEV 6132;DIMEV 1358;DIMEV 4852;DIMEV 3394;DIMEV 2640;DIMEV 1809,6
Christ,complaints,DIMEV 894,1
Christ,composite texts,DIMEV 5077;DIMEV 5079,2
Christ,conclusions,DIMEV 3232,1
Christ,confession,DIMEV 98,1
Christ,crucifixion,DIMEV 295;DIMEV 812;DIMEV 798;DIMEV 804;DIMEV 1336;DIMEV 273;DIMEV 3965;DIMEV 805;DIMEV 5425;DIMEV 467;DIMEV 810;DIMEV 3814;DIMEV 3920;DIMEV 148;DIMEV 4791;DIMEV 2699,18
Christ,death,DIMEV 5578;DIMEV 13,2
Christ,debates,DIMEV 3120,1
Christ,despair,DIMEV 3945,1
Christ,devil,DIMEV 2881;DIMEV 5639;DIMEV 2189;DIMEV 2767,4
Christ,devotional verse,DIMEV 5425;DIMEV 1336;DIMEV 5734,3
Christ,dialogues,DIMEV 3823;DIMEV 4094;DIMEV 3987;DIMEV 5084;DIMEV 6132;DIMEV 6233;DIMEV 6108;DIMEV 2189;DIMEV 3233;DIMEV 5704;DIMEV 3984,11
Christ,dream visions,DIMEV 467,1
Christ,envoys,DIMEV 2566;DIMEV 3943;DIMEV 6132;DIMEV 3388,4
Christ,fifteen,DIMEV 3843,1
Christ,four-line,DIMEV 5615,1
Christ,fragments,DIMEV 1842,1
Christ,grace,DIMEV 1631,1
Christ,heaven,DIMEV 659,1
Christ,heraldry,DIMEV 154,1
Christ,hymns,DIMEV 3864;DIMEV 1005,2
