Source,Target,Label
carols,John Audelay,DIMEV 4630
John the Evangelist,John Audelay,DIMEV 4630
carols,John Audelay,DIMEV 4760
Stephen,John Audelay,DIMEV 4760
carols,James Ryman,DIMEV 4881
carols,James Ryman,DIMEV 4898
carols,James Ryman,DIMEV 4913
carols,William Cornish,DIMEV 5005
carols,Edmund Turges,DIMEV 5014
Henry VII,Edmund Turges,DIMEV 5014
carols,James Ryman,DIMEV 5127
carols,James Ryman,DIMEV 5137
dialogues,James Rayman,DIMEV 5153
carols,James Rayman,DIMEV 5153
carols,James Ryman,DIMEV 5191
carols,James Ryman,DIMEV 5192
carols,James Ryman,DIMEV 5254
carols,James Ryman,DIMEV 5258
carols,James Ryman,DIMEV 5259
carols,James Ryman,DIMEV 5260
wits,John Audelay,DIMEV 5274
carols,John Audelay,DIMEV 5274
carols,James Ryman,DIMEV 5327
carols,James Ryman,DIMEV 5328
carols,William Cornish,DIMEV 5363
pageant verses,William Cornish,DIMEV 5363
carols,James Ryman,DIMEV 5441
carols,James Ryman,DIMEV 5471
carols,James Ryman,DIMEV 5472
carols,James Ryman,DIMEV 5473
carols,James Ryman,DIMEV 5474
carols,James Ryman,DIMEV 5475
carols,John Audelay,DIMEV 5565
Eucharist,James Ryman,DIMEV 5665
carols,James Ryman,DIMEV 5665
carols,James Ryman,DIMEV 5668
carols,John Audelay,DIMEV 5691
carols,James Ryman,DIMEV 5720
carols,James Ryman,DIMEV 5818
carols,John Grimestone,DIMEV 5850
carols,James Ryman,DIMEV 5901
carols,James Ryman,DIMEV 5929
carols,James Ryman,DIMEV 5931
carols,James Ryman,DIMEV 5932
carols,James Ryman,DIMEV 5936
carols,James Ryman,DIMEV 5969
Christ,James Ryman,DIMEV 5969
carols,James Ryman,DIMEV 6016
carols,James Ryman,DIMEV 6028
carols,James Ryman,DIMEV 6124
Christ,Sheringham,DIMEV 6132
Christ,John Lydgate,DIMEV 6132
carols,Sheringham,DIMEV 6132
carols,John Lydgate,DIMEV 6132
envoys,Sheringham,DIMEV 6132
envoys,John Lydgate,DIMEV 6132
dialogues,Sheringham,DIMEV 6132
dialogues,John Lydgate,DIMEV 6132
carols,James Ryman,DIMEV 6281
carols,James Ryman,DIMEV 6300
laments,James Ryman,DIMEV 6300
Virgin Mary,James Ryman,DIMEV 6300
castles,Humfrey Newton,DIMEV 4262
seasons,Humfrey Newton,DIMEV 4262
weather,Humfrey Newton,DIMEV 4262
catechisms,Hugh Campeden,DIMEV 1276
instructional verse,Hugh Campeden,DIMEV 1276
doctrine,Hugh Campeden,DIMEV 1276
translations,Hugh Campeden,DIMEV 1276
dialogues,Hugh Campeden,DIMEV 3465
didactic verse,Hugh Campeden,DIMEV 3465
doctrine,Hugh Campeden,DIMEV 3465
catechisms,Hugh Campeden,DIMEV 3465
saints’ lives,Osbern Bokenam,DIMEV 962
Cecilia,Osbern Bokenam,DIMEV 962
Chalker,William Dunbar,DIMEV 3632
satire,William Dunbar,DIMEV 3632
political poems,William Dunbar,DIMEV 3632
Venus,Charles d’Orléans,DIMEV 2604
dialogues,Charles d’Orléans,DIMEV 2604
chansons d’aventure,Charles d’Orléans,DIMEV 2604
envoys,Charles d’Orléans,DIMEV 2604
love lyrics,Charles d’Orléans,DIMEV 3731
chansons d’aventure,Charles d’Orléans,DIMEV 3731
charity,John Grimestone,DIMEV 970
paraphrases,John Grimestone,DIMEV 970
scripture texts,John Grimestone,DIMEV 970
princes,John Lydgate,DIMEV 813
political verse,John Lydgate,DIMEV 813
Edward II,John Lydgate,DIMEV 813
Richard II,John Lydgate,DIMEV 813
Thomas,John Lydgate,DIMEV 813
Louis,John Lydgate,DIMEV 813
Robert de Vere,John Lydgate,DIMEV 813
John,John Lydgate,DIMEV 813
Charles VII,John Lydgate,DIMEV 813
tales,Adam of Cobsam,DIMEV 432
chastity,Adam of Cobsam,DIMEV 432
Chaucer,John Lydgate,DIMEV 3442
occasional verse,John Lydgate,DIMEV 4075
Chaucer,John Lydgate,DIMEV 4075
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 4315
links,Geoffrey Chaucer,DIMEV 4315
context,Geoffrey Chaucer,DIMEV 4315
tales,Geoffrey Chaucer,DIMEV 4315
Chaucer,Geoffrey Chaucer,DIMEV 4315
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 6401
links,Geoffrey Chaucer,DIMEV 6401
Chaucer,Geoffrey Chaucer,DIMEV 6401
dream poems,Geoffrey Chaucer,DIMEV 2181
chess,Geoffrey Chaucer,DIMEV 2181
elegies,Geoffrey Chaucer,DIMEV 2181
envoys,Geoffrey Chaucer,DIMEV 2181
Chester castle,John Trevisa,DIMEV 2748
Chester castle,Ranulph Higden,DIMEV 2748
chronicles,John Trevisa,DIMEV 2748
chronicles,Ranulph Higden,DIMEV 2748
children,Symon,DIMEV 346
manners,Symon,DIMEV 346
courtesy books,Symon,DIMEV 346
translations,John Grimestone,DIMEV 977
children,John Grimestone,DIMEV 977
manners,John Lydgate,DIMEV 2828
children,John Lydgate,DIMEV 2828
manners,John Lydgate,DIMEV 3588
children,John Lydgate,DIMEV 3588
instruction,John Lydgate,DIMEV 3588
envoys,John Lydgate,DIMEV 3588
children’s rhymes,Nicholas Bozon,DIMEV 1038
nonsense verse,Nicholas Bozon,DIMEV 1038
children’s rhymes,Richard Newton,DIMEV 4989
Nativity,John Capgrave,DIMEV 192
Christ,John Capgrave,DIMEV 192
prophecies,John Capgrave,DIMEV 192
sin,John Grimestone,DIMEV 287
Christ,John Grimestone,DIMEV 287
sins,John Grimestone,DIMEV 355
Christ,John Grimestone,DIMEV 355
Christ,John Lydgate,DIMEV 385
old age,John Lydgate,DIMEV 385
Christ,William Dunbar,DIMEV 467
crucifixion,William Dunbar,DIMEV 467
dream visions,William Dunbar,DIMEV 467
Christ,John Audelay,DIMEV 491
Christ,Augustine of Hippo,DIMEV 752
Christ,Philip the Chancelor,DIMEV 805
crucifixion,Philip the Chancelor,DIMEV 805
translations,Philip the Chancelor,DIMEV 805
Christ,John Grimestone,DIMEV 814
Christ,John Grimestone,DIMEV 849
epilogues,William Caxton,DIMEV 860
Virgin Mary,William Caxton,DIMEV 860
Christ,William Caxton,DIMEV 860
translations,William Caxton,DIMEV 860
sermons,John of Bromyard,DIMEV 918
Christ,John of Bromyard,DIMEV 918
Christ,William Herebert,DIMEV 982
Christ,John Grimestone,DIMEV 985
Christ,John Grimestone,DIMEV 995
Christ,John Grimestone,DIMEV 998
Christ,John Lydgate,DIMEV 1005
hymns,John Lydgate,DIMEV 1005
paraphrases,John Lydgate,DIMEV 1005
Christ,James Ryman,DIMEV 1008
Christ,James Ryman,DIMEV 1009
Christ,James Ryman,DIMEV 1010
Christ,John Grimestone,DIMEV 1027
Christ,John Grimestone,DIMEV 1028
Christ,William Billyng,DIMEV 1056
Christ,William Dunbar,DIMEV 1143
Christ,John Arcuarius OSA,DIMEV 1182
stones,Richardoune,DIMEV 1502
Christ,Richardoune,DIMEV 1502
Christ,Friar Nicholas Philip,DIMEV 1510
sermons,Friar Nicholas Philip,DIMEV 1510
nightingale,John Lydgate,DIMEV 1538
dream poems,John Lydgate,DIMEV 1538
Christ,John Lydgate,DIMEV 1538
translations,Prudentius,DIMEV 1541
Christ,Prudentius,DIMEV 1541
Christ,Robert of Brunne,DIMEV 1545
Christ,John of Hoveden,DIMEV 1693
Christ,Walter Kennedy,DIMEV 1703
Passion,Walter Kennedy,DIMEV 1703
Christ,William Herebert,DIMEV 1846
Christ,John Grimestone,DIMEV 1874
translations,John Grimestone,DIMEV 1874
Last Supper,John Grimestone,DIMEV 1874
Christ,John Grimestone,DIMEV 2080
Christ,John Grimestone,DIMEV 2108
Christ,James Ryman,DIMEV 2213
Christ,Richard Rolle,DIMEV 2286
dream poems,John Lydgate,DIMEV 2525
Christ,John Lydgate,DIMEV 2525
Christ,John Grimestone,DIMEV 2690
Christ,John Grimestone,DIMEV 2699
crucifixion,John Grimestone,DIMEV 2699
Christ,John Grimestone,DIMEV 2756
Eucharist,John Grimestone,DIMEV 2756
Christ,Richard Rolle,DIMEV 2796
Christ,Thomas Hoccleve,DIMEV 2843
mottoes,Thomas Hoccleve,DIMEV 2843
songs,John Grimestone,DIMEV 2853
Christ,John Grimestone,DIMEV 2853
love,Richard Rolle,DIMEV 2877
Christ,Richard Rolle,DIMEV 2877
prayers,John Grimestone,DIMEV 2882
Christ,John Grimestone,DIMEV 2882
Christ,Palden,DIMEV 2903
Cross,Palden,DIMEV 2903
sermons,Friar Nicholas Philip,DIMEV 2933
Christ,Friar Nicholas Philip,DIMEV 2933
Christ,John Grimestone,DIMEV 3169
Christ,Richard Rolle,DIMEV 3198
thanksgiving,Richard Rolle,DIMEV 3198
Christ,Richard Rolle,DIMEV 3275
translations,Richard Rolle,DIMEV 3275
treatises,Richard Rolle,DIMEV 3275
Christ,John Grimestone,DIMEV 3281
Christ,John Grimestone,DIMEV 3282
prayers,Richard Rolle,DIMEV 3290
songs,Richard Rolle,DIMEV 3290
Christ,Richard Rolle,DIMEV 3290
complaints,John Lydgate,DIMEV 3388
Christ,John Lydgate,DIMEV 3388
envoys,John Lydgate,DIMEV 3388
Passion,William Dunbar,DIMEV 3488
Christ,William Dunbar,DIMEV 3488
Christ,John Grimestone,DIMEV 3590
Christ,William Herebert,DIMEV 3599
Christ,John Grimestone,DIMEV 3634
crucifixion,John Clerk,DIMEV 3664
Christ,John Clerk,DIMEV 3664
Christ,Thomas Hoccleve,DIMEV 3834
Christ,John Lydgate,DIMEV 3843
fifteen,John Lydgate,DIMEV 3843
Christ,James Ryman,DIMEV 3864
hymns,James Ryman,DIMEV 3864
Christ,John Audelay,DIMEV 3920
crucifixion,John Audelay,DIMEV 3920
Christ,John Lydgate,DIMEV 3937
Christ,John Audelay,DIMEV 3965
crucifixion,John Audelay,DIMEV 3965
Christ,James Ryman,DIMEV 3985
Christ,James Ryman,DIMEV 4030
Christ,James Ryman,DIMEV 4094
dialogues,James Ryman,DIMEV 4094
Christ,John Grimestone,DIMEV 4276
Christ,John Audelay,DIMEV 4388
Passion,John Audelay,DIMEV 4388
Christ,William Dunbar,DIMEV 4514
Christ,William Dunbar,DIMEV 4785
Christ,James Ryman,DIMEV 4821
translations,John Grimestone,DIMEV 5019
Christ,John Grimestone,DIMEV 5019
Christ,Richard Rolle,DIMEV 5077
composite texts,Richard Rolle,DIMEV 5077
Passion,Walter Hilton,DIMEV 5314
Christ,Walter Hilton,DIMEV 5314
illustrations,Walter Hilton,DIMEV 5314
Nativity,William Dunbar,DIMEV 5484
Christ,William Dunbar,DIMEV 5484
mercy,John Grimestone,DIMEV 5631
Christ,John Grimestone,DIMEV 5631
Christ,John Grimestone,DIMEV 5636
Christ,John Grimestone,DIMEV 5710
Christ,William Herebert,DIMEV 5734
devotional verse,William Herebert,DIMEV 5734
songs,William Herebert,DIMEV 5734
Christ,Richard Rolle,DIMEV 5989
Christ,Richard Rolle,DIMEV 6110
Christ,Bernard of Clairvaux,DIMEV 6110
translations,Richard Rolle,DIMEV 6110
translations,Bernard of Clairvaux,DIMEV 6110
scripture,John Grimestone,DIMEV 6165
translations,John Grimestone,DIMEV 6165
Christ,John Grimestone,DIMEV 6165
faith,Reginald Pecock,DIMEV 6709
translations,Reginald Pecock,DIMEV 6709
Christ,Reginald Pecock,DIMEV 6709
Virgin Mary,Reginald Pecock,DIMEV 6709
Christ,John Grimestone,DIMEV 6725
sermons,Friar Nicholas Philip,DIMEV 6794
Christ,Friar Nicholas Philip,DIMEV 6794
transitoriness,Friar Nicholas Philip,DIMEV 6794
Christina,Osbern Bokenam,DIMEV 6531
saints’ lives,Osbern Bokenam,DIMEV 6531
Christmastide,John Redford,DIMEV 4245
Easter,John Redford,DIMEV 4245
Christmastide,Benedict Burgh,DIMEV 4364
Christmastide,James Ryman,DIMEV 4414
chronicles,Laȝamon,DIMEV 498
clothing,John de Fordun,DIMEV 512
chronicles,John de Fordun,DIMEV 512
Wallace,Peter Langtoft,DIMEV 545
popular verses,Peter Langtoft,DIMEV 545
chronicles,Peter Langtoft,DIMEV 545
chronicles,Andrew Wintoun,DIMEV 658
Scotland,Andrew Wintoun,DIMEV 658
chronicles,John Trevisa,DIMEV 660
chronicles,Virgil,DIMEV 660
chronicles,Ranulph Higden,DIMEV 660
translations,John Trevisa,DIMEV 660
translations,Virgil,DIMEV 660
translations,Ranulph Higden,DIMEV 660
Percy,William Peeris,DIMEV 1033
chronicles,William Peeris,DIMEV 1033
chronicles,John Hardyng,DIMEV 1174
envoys,John Hardyng,DIMEV 1174
chronicles,Robert of Gloucester,DIMEV 1193
chronicles,Robert of Gloucester,DIMEV 1194
chronicles,Robert of Gloucester,DIMEV 1195
Worthies,Lonuyon,DIMEV 1930
Worthies,John de Fordun,DIMEV 1930
chronicles,Lonuyon,DIMEV 1930
chronicles,John de Fordun,DIMEV 1930
translations,Lonuyon,DIMEV 1930
translations,John de Fordun,DIMEV 1930
inscriptions,John Trevisa,DIMEV 2392
inscriptions,Ranulph Higden,DIMEV 2392
chronicles,John Trevisa,DIMEV 2392
chronicles,Ranulph Higden,DIMEV 2392
illustrations,John Trevisa,DIMEV 2392
illustrations,Ranulph Higden,DIMEV 2392
riddles,John Trevisa,DIMEV 2392
riddles,Ranulph Higden,DIMEV 2392
chronicles,Thomas Castelford of Bek,DIMEV 2617
occasional verse,John Lydgate,DIMEV 3151
Henry VI,John Lydgate,DIMEV 3151
pageant verses,John Lydgate,DIMEV 3151
chronicles,John Lydgate,DIMEV 3151
epilogues,John Lydgate,DIMEV 3151
chronicles,Robert of Brunne,DIMEV 3253
dedications,John Hardyng,DIMEV 4053
chronicles,John Hardyng,DIMEV 4053
Rome,John Trevisa,DIMEV 4513
Rome,Ranulph Higden,DIMEV 4513
chronicles,John Trevisa,DIMEV 4513
chronicles,Ranulph Higden,DIMEV 4513
roundels,John Lydgate,DIMEV 5015
pageant verses,John Lydgate,DIMEV 5015
occasional verse,John Lydgate,DIMEV 5015
Henry VI,John Lydgate,DIMEV 5015
chronicles,John Lydgate,DIMEV 5015
political poems,John Trevisa,DIMEV 5041
political poems,Ranulph Higden,DIMEV 5041
chronicles,John Trevisa,DIMEV 5041
chronicles,Ranulph Higden,DIMEV 5041
Merlin,Robert Mannyng,DIMEV 5169
prophecies,Robert Mannyng,DIMEV 5169
chronicles,Robert Mannyng,DIMEV 5169
historical verse,William Colyngbourne,DIMEV 5229
Richard III,William Colyngbourne,DIMEV 5229
chronicles,William Colyngbourne,DIMEV 5229
inscriptions,William Colyngbourne,DIMEV 5229
women,John de Fordun,DIMEV 5513
chronicles,John de Fordun,DIMEV 5513
translations,John de Fordun,DIMEV 5513
women,John de Fordun,DIMEV 5958
chronicles,John de Fordun,DIMEV 5958
translations,John de Fordun,DIMEV 5958
Scots,Langtoft,DIMEV 6061
chronicles,Langtoft,DIMEV 6061
prologues,Robert Fabyan,DIMEV 6322
chronicles,Robert Fabyan,DIMEV 6322
chronicles,John Pigott,DIMEV 6509
chronicles,Ovid,DIMEV 6726
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 3255
devil,Geoffrey Chaucer,DIMEV 3255
friars,Geoffrey Chaucer,DIMEV 3255
Church corruption,Geoffrey Chaucer,DIMEV 3255
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 6536
summoners,Geoffrey Chaucer,DIMEV 6536
Church corruption,Geoffrey Chaucer,DIMEV 6536
epitaphs,John Skelton,DIMEV 5772
Udersall,John Skelton,DIMEV 5772
Clark,John Skelton,DIMEV 5772
skeltonics,John Skelton,DIMEV 5772
clergy,John Merely,DIMEV 1412
clergy,John Mirk,DIMEV 1581
tithes,Walter Mapes,DIMEV 5605
clergy,Walter Mapes,DIMEV 5605
clothing,John Skelton,DIMEV 4135
envoys,John Lydgate,DIMEV 4169
clothing,John Lydgate,DIMEV 4169
women,John Lydgate,DIMEV 4169
colophons,Richard Rolle,DIMEV 1962
colophons,Wynkyn de Worde,DIMEV 2674
colophons,Walter Hilton,DIMEV 2674
patronage,Wynkyn de Worde,DIMEV 2674
patronage,Walter Hilton,DIMEV 2674
colophons,"Percival, Premonstratensian Canon at Coverham Abbey, Yorkshire",DIMEV 3714
colophons,Wynkyn de Worde,DIMEV 5695
Richard II,Thomas Hoccleve,DIMEV 6498
historical poems,Thomas Hoccleve,DIMEV 6498
commemorative verse,Thomas Hoccleve,DIMEV 6498
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 120
commerce,Geoffrey Chaucer,DIMEV 120
sex,Geoffrey Chaucer,DIMEV 120
infidelity,Geoffrey Chaucer,DIMEV 120
complaints,Thomas Wyatt,DIMEV 151
women,Thomas Wyatt,DIMEV 151
complaints,John Lydgate,DIMEV 159
Humphrey,John Lydgate,DIMEV 159
Jacqueline of Hainault,John Lydgate,DIMEV 159
complaints,William Cornish,DIMEV 221
women,Robert Copland,DIMEV 233
marriage,Robert Copland,DIMEV 233
complaints,Robert Copland,DIMEV 233
complaints,Thomas Hoccleve,DIMEV 235
madness,Thomas Hoccleve,DIMEV 235
frames,Thomas Hoccleve,DIMEV 235
complaints,Charles d’Orléans,DIMEV 276
Fortune,Charles d’Orléans,DIMEV 276
complaints,Guillaume Deguileville,DIMEV 878
soul,Guillaume Deguileville,DIMEV 878
complaints,William Dunbar,DIMEV 1064
complaints,John Lydgate,DIMEV 1667
complaints,Geoffrey Chaucer,DIMEV 2312
complaints,Geoffrey Chaucer,DIMEV 2370
May,John Lydgate,DIMEV 2541
complaints,John Lydgate,DIMEV 2541
envoys,John Lydgate,DIMEV 2541
love,John Lydgate,DIMEV 2541
complaints,Charles d’Orléans,DIMEV 3647
love lyrics,Charles d’Orléans,DIMEV 3647
envoys,Charles d’Orléans,DIMEV 3647
lover’s pleas,Charles d’Orléans,DIMEV 3647
complaints,William de la Pole,DIMEV 3706
Fortune,William de la Pole,DIMEV 3706
evils of the time,William de la Pole,DIMEV 3780
complaints,William de la Pole,DIMEV 3780
Fortune,William de la Pole,DIMEV 3780
envoys,William de la Pole,DIMEV 3784
lovers,William de la Pole,DIMEV 3784
lover’s lament,William de la Pole,DIMEV 3784
complaints,William de la Pole,DIMEV 3784
complaints,William de la Pole,DIMEV 3865
lovers,William de la Pole,DIMEV 3865
lover’s lament,William de la Pole,DIMEV 3865
death,James Ryman,DIMEV 3866
complaints,James Ryman,DIMEV 3866
dialogues,James Ryman,DIMEV 3866
Fortune,Charles d’Orléans,DIMEV 3895
envoys,Charles d’Orléans,DIMEV 3895
complaints,Charles d’Orléans,DIMEV 3895
roundels,Charles d’Orléans,DIMEV 3896
complaints,Charles d’Orléans,DIMEV 3896
Fortune,Charles d’Orléans,DIMEV 3900
complaints,Charles d’Orléans,DIMEV 3900
envoys,Charles d’Orléans,DIMEV 3900
lovers,Charles d’Orléans,DIMEV 3924
complaints,Charles d’Orléans,DIMEV 3924
envoys,Charles d’Orléans,DIMEV 3924
envoys,Charles d’Orléans,DIMEV 3925
lovers,Charles d’Orléans,DIMEV 3925
complaints,Charles d’Orléans,DIMEV 3925
Fortune,Charles d’Orléans,DIMEV 4071
complaints,Charles d’Orléans,DIMEV 4071
complaints,Thomas Howard,DIMEV 4085
complaints,Geoffrey Chaucer,DIMEV 4085
complaints,William de la Pole,DIMEV 4095
lovers,William de la Pole,DIMEV 4095
complaints,William Dunbar,DIMEV 4865
political poems,William Dunbar,DIMEV 4865
complaints,Geoffrey Chaucer,DIMEV 4949
complaints,William de la Pole,DIMEV 5504
lovers,William de la Pole,DIMEV 5504
Venus,Geoffrey Chaucer,DIMEV 5590
Venus,Oton de Graunson Sir,DIMEV 5590
envoys,Geoffrey Chaucer,DIMEV 5590
envoys,Oton de Graunson Sir,DIMEV 5590
complaints,Geoffrey Chaucer,DIMEV 5590
complaints,Oton de Graunson Sir,DIMEV 5590
complaints,Geoffrey Chaucer,DIMEV 5823
lover’s lament,Geoffrey Chaucer,DIMEV 5823
women,Geoffrey Chaucer,DIMEV 5823
complaints,Geoffrey Chaucer,DIMEV 6044
envoys,Geoffrey Chaucer,DIMEV 6044
money,Geoffrey Chaucer,DIMEV 6044
complaints,William de la Pole,DIMEV 6152
love,William de la Pole,DIMEV 6152
Fortune,William de la Pole,DIMEV 6152
Cupid,William de la Pole,DIMEV 6152
complaints,William de la Pole,DIMEV 6250
complaints,William de la Pole,DIMEV 6253
falseness,William de la Pole,DIMEV 6253
women,William de la Pole,DIMEV 6253
mutability,Halsham,DIMEV 5534
complexions,Halsham,DIMEV 5534
composite poems,Halsham,DIMEV 5534
tongue,John Lydgate,DIMEV 5581
tongue,Geoffrey Chaucer,DIMEV 5581
composite poems,John Lydgate,DIMEV 5581
composite poems,Geoffrey Chaucer,DIMEV 5581
princes,John Lydgate,DIMEV 6367
princes,Geoffrey Chaucer,DIMEV 6367
composite texts,John Lydgate,DIMEV 6367
composite texts,Geoffrey Chaucer,DIMEV 6367
translations,Anthony Wydeville (earl Rivers),DIMEV 6868
conclusions,Anthony Wydeville (earl Rivers),DIMEV 6868
roundels,Charles d’Orléans,DIMEV 3602
confession,Charles d’Orléans,DIMEV 3602
confession,William Dunbar,DIMEV 4048
confession,John Grimestone,DIMEV 5144
dialogues,John Grimestone,DIMEV 5144
confession,William Dunbar,DIMEV 6021
instruction,William Dunbar,DIMEV 6021
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 724
millers,Geoffrey Chaucer,DIMEV 724
contest,Geoffrey Chaucer,DIMEV 724
fabliaux,Geoffrey Chaucer,DIMEV 724
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 2499
links,Geoffrey Chaucer,DIMEV 2499
contest,Geoffrey Chaucer,DIMEV 2499
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 5238
prologues,Geoffrey Chaucer,DIMEV 5238
links,Geoffrey Chaucer,DIMEV 5238
contest,Geoffrey Chaucer,DIMEV 5238
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 5756
links,Geoffrey Chaucer,DIMEV 5756
friars,Geoffrey Chaucer,DIMEV 5756
contest,Geoffrey Chaucer,DIMEV 5756
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 6307
links,Geoffrey Chaucer,DIMEV 6307
prologues,Geoffrey Chaucer,DIMEV 6307
contest,Geoffrey Chaucer,DIMEV 6307
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 6711
wine,Geoffrey Chaucer,DIMEV 6711
contest,Geoffrey Chaucer,DIMEV 6711
God,William Cornish,DIMEV 4381
Cornysshe,William Cornish,DIMEV 4381
Nature,William Cornish,DIMEV 4381
Corpus Christi,John Lydgate,DIMEV 5697
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 5599
corruption,Geoffrey Chaucer,DIMEV 5599
innocence,Geoffrey Chaucer,DIMEV 5599
sacrifice,Geoffrey Chaucer,DIMEV 5599
counsel,William Dunbar,DIMEV 1246
counsel,Geoffrey Chaucer,DIMEV 1326
envoys,Geoffrey Chaucer,DIMEV 1326
counsel,Richard Rolle,DIMEV 2432
counsel,John de Fordun,DIMEV 3002
counsel,John Gower,DIMEV 4346
counsel,Benedict Burgh,DIMEV 4346
manners,John Russell,DIMEV 2556
servants,John Russell,DIMEV 2556
courtesy books,John Russell,DIMEV 2556
Somer,Thomas Hoccleve,DIMEV 6802
court life,Thomas Hoccleve,DIMEV 6802
friends,Thomas Hoccleve,DIMEV 6802
women,William Dunbar,DIMEV 6134
debates,William Dunbar,DIMEV 6134
Courtly Love,William Dunbar,DIMEV 6134
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 6530
Theseus,Geoffrey Chaucer,DIMEV 6530
Courtly Love,Geoffrey Chaucer,DIMEV 6530
Fortune,Geoffrey Chaucer,DIMEV 6530
Crecy,Laurence Minot,DIMEV 3467
historical poems,Laurence Minot,DIMEV 3467
Creed,Farnelay,DIMEV 1200
Cross,John Audelay,DIMEV 1017
Cross,William of Shoreham,DIMEV 5837
crucifixion,William Dunbar,DIMEV 3974
crucifixion,John Grimestone,DIMEV 5449
senses,John Grimestone,DIMEV 5449
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 6537
fabliaux,Geoffrey Chaucer,DIMEV 6537
cuckoldry,Geoffrey Chaucer,DIMEV 6537
herbergage,Geoffrey Chaucer,DIMEV 6537
‘La Requeste’,Charles d’Orléans,DIMEV 828
Venus,Charles d’Orléans,DIMEV 828
Cupid,Charles d’Orléans,DIMEV 828
Cupid,John Lydgate,DIMEV 1480
Occasional poems,John Lydgate,DIMEV 1480
love lyrics,John Lydgate,DIMEV 1480
envoys,John Lydgate,DIMEV 1480
envoys,William de la Pole,DIMEV 4111
lovers,William de la Pole,DIMEV 4111
love,William de la Pole,DIMEV 4111
Cupid,William de la Pole,DIMEV 4111
lovers,William de la Pole,DIMEV 4111
Cupid,Charles d’Orléans,DIMEV 5298
Venus,Charles d’Orléans,DIMEV 5298
letters,Charles d’Orléans,DIMEV 5298
Cupid,Charles d’Orléans,DIMEV 6220
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 2502
Flanders,Geoffrey Chaucer,DIMEV 2502
Cupiditas,Geoffrey Chaucer,DIMEV 2502
death,Geoffrey Chaucer,DIMEV 2502
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 3251
preaching,Geoffrey Chaucer,DIMEV 3251
Cupiditas,Geoffrey Chaucer,DIMEV 3251
curses,William Wymondham,DIMEV 1213
curses,"Aldred, Bishop of York",DIMEV 1800
prophecies,"Aldred, Bishop of York",DIMEV 1800
death,Richard Pynson,DIMEV 207
dialogues,Thomas Hoccleve,DIMEV 508
mutability,Thomas Hoccleve,DIMEV 508
frames,Thomas Hoccleve,DIMEV 508
madness,Thomas Hoccleve,DIMEV 508
death,Thomas Hoccleve,DIMEV 508
money,Thomas Hoccleve,DIMEV 508
death,John Grimestone,DIMEV 1361
translations,John Grimestone,DIMEV 2005
death,John Grimestone,DIMEV 2005
warnings,John Grimestone,DIMEV 2005
instruction,John Walton,DIMEV 2078
instruction,Boethius,DIMEV 2078
death,John Walton,DIMEV 2078
death,Boethius,DIMEV 2078
mortality,William Dunbar,DIMEV 2291
death,William Dunbar,DIMEV 2291
death,John Grimestone,DIMEV 2382
translations,John Grimestone,DIMEV 2382
death,John Grimestone,DIMEV 2721
death,John Grimestone,DIMEV 3390
translations,John Grimestone,DIMEV 3390
death,James Ryman,DIMEV 3874
dialogues,Robert Henryson,DIMEV 4000
death,Robert Henryson,DIMEV 4000
death,John Lydgate,DIMEV 4105
death,John Lydgate,DIMEV 4107
envoys,John Lydgate,DIMEV 4107
death,John Grimestone,DIMEV 4273
translations,John Grimestone,DIMEV 4790
death,John Grimestone,DIMEV 4790
death,John Grimestone,DIMEV 4836
translations,John Grimestone,DIMEV 4836
death,Thomas Hoccleve,DIMEV 4879
devotional verse,William Herebert,DIMEV 4895
devotional verse,Nicholas Bozon,DIMEV 4895
translations,William Herebert,DIMEV 4895
translations,Nicholas Bozon,DIMEV 4895
death,William Herebert,DIMEV 4895
death,Nicholas Bozon,DIMEV 4895
death,John Lydgate,DIMEV 4929
mortality,John Lydgate,DIMEV 4929
devil,John Grimestone,DIMEV 5535
death,John Grimestone,DIMEV 5535
death,Thomas Hoccleve,DIMEV 5812
death,John Grimestone,DIMEV 6634
translations,John Grimestone,DIMEV 6634
debates,Robert Henryson,DIMEV 4510
debates,Stephen Hawes,DIMEV 5294
debates,William Cornish,DIMEV 5364
debates,John Grimestone,DIMEV 5849
deceit,John Lydgate,DIMEV 1108
prologues,Stephen Scrope,DIMEV 4390
dedications,Stephen Scrope,DIMEV 4390
Humphrey,Stephen Scrope,DIMEV 4390
Fastolf,Stephen Scrope,DIMEV 4390
