Source,Target,Label
court life,William Dunbar,DIMEV 5971
advice,George Cely,DIMEV 6001
money,George Cely,DIMEV 6001
advice,William Dunbar,DIMEV 6003
learning,William Dunbar,DIMEV 6003
carols,John Skelton,DIMEV 6055
advice,John Skelton,DIMEV 6055
advice,John Lydgate,DIMEV 6063
envoys,Benedict Burgh,DIMEV 6321
advice,Benedict Burgh,DIMEV 6321
modesty,John Grimestone,DIMEV 6471
translations,John Grimestone,DIMEV 6471
advice,John Grimestone,DIMEV 6471
advice,Richard Sellyng,DIMEV 6539
inscriptions,William Caxton,DIMEV 6578
advice,William Caxton,DIMEV 6578
advice,William Dunbar,DIMEV 6584
translations,John Grimestone,DIMEV 6645
advice,John Grimestone,DIMEV 6645
wealth,John Grimestone,DIMEV 6645
women,John Lydgate,DIMEV 6798
advice,John Lydgate,DIMEV 6798
old age,John Lydgate,DIMEV 6798
wine,John Lydgate,DIMEV 6798
scripture,John Grimestone,DIMEV 6848
advice,John Grimestone,DIMEV 6848
translations,John Grimestone,DIMEV 6848
fornication,John Grimestone,DIMEV 6848
epilogues,John Shirley,DIMEV 60
advice to princes,John Shirley,DIMEV 60
greed,John Shirley,DIMEV 60
James I,John Shirley,DIMEV 60
evils of the time,John Lydgate,DIMEV 359
advice to princes,John Lydgate,DIMEV 359
counsel,John Lydgate,DIMEV 359
political poems,John Lydgate,DIMEV 359
virtues,John Lydgate,DIMEV 359
satire,John Lydgate,DIMEV 359
virtues,John Lydgate,DIMEV 1526
estates literature,John Lydgate,DIMEV 1526
advice to princes,John Lydgate,DIMEV 1526
Fortune,John Lydgate,DIMEV 1904
advice to princes,John Lydgate,DIMEV 1904
political poems,George Ashby,DIMEV 3446
advice to princes,George Ashby,DIMEV 3446
Holy Church,John Lydgate,DIMEV 3565
political poems,John Lydgate,DIMEV 3565
advice to princes,John Lydgate,DIMEV 3565
political poems,Thomas Hoccleve,DIMEV 3581
advice to princes,Thomas Hoccleve,DIMEV 3581
envoys,Thomas Hoccleve,DIMEV 3581
envoys,Geoffrey Chaucer,DIMEV 4990
mutability,Geoffrey Chaucer,DIMEV 4990
friends,Geoffrey Chaucer,DIMEV 4990
transitoriness,Geoffrey Chaucer,DIMEV 4990
evils of the time,Geoffrey Chaucer,DIMEV 4990
advice to princes,Geoffrey Chaucer,DIMEV 4990
advice to princes,Stephen Hawes,DIMEV 5289
envoys,Stephen Hawes,DIMEV 5289
Fortune,Geoffrey Chaucer,DIMEV 5803
mutability,Geoffrey Chaucer,DIMEV 5803
advice to princes,Geoffrey Chaucer,DIMEV 5803
envoys,Geoffrey Chaucer,DIMEV 5803
dialogues,Geoffrey Chaucer,DIMEV 5803
epistles,Geoffrey Chaucer,DIMEV 5965
friends,Geoffrey Chaucer,DIMEV 5965
love,Geoffrey Chaucer,DIMEV 5965
envoys,Geoffrey Chaucer,DIMEV 5965
epilogues,Geoffrey Chaucer,DIMEV 5965
advice to princes,Geoffrey Chaucer,DIMEV 5965
John,Thomas Hoccleve,DIMEV 6116
occasional verse,Thomas Hoccleve,DIMEV 6116
advice to princes,Thomas Hoccleve,DIMEV 6116
advice to princes,William Dunbar,DIMEV 6169
Agatha,Osbern Bokenam,DIMEV 600
saints’ lives,Osbern Bokenam,DIMEV 600
old age,Walter Kennedy,DIMEV 707
ages of man’s life,Walter Kennedy,DIMEV 707
songs,Henry VIII,DIMEV 5883
ages of man’s life,Henry VIII,DIMEV 5883
mortality,Robert Henryson,DIMEV 6298
ages of man’s life,Robert Henryson,DIMEV 6298
allegories,Robert Henryson,DIMEV 6298
debates,Robert Henryson,DIMEV 6298
ages of man’s life,John Grimestone,DIMEV 6887
sermons,John Grimestone,DIMEV 6887
Agnes,Osbern Bokenam,DIMEV 4531
saints’ lives,Osbern Bokenam,DIMEV 4531
agriculture,Palladius,DIMEV 1071
saints’ lives,John Lydgate,DIMEV 5966
Alban,John Lydgate,DIMEV 5966
Amphibal,John Lydgate,DIMEV 5966
alchemical poems,George Ripley,DIMEV 590
alchemical poems,George Ripley,DIMEV 2278
illustrations,George Ripley,DIMEV 2278
alchemical poems,Geber,DIMEV 2418
illustrations,George Ripley,DIMEV 2623
alchemical poems,George Ripley,DIMEV 2623
illustrations,George Ripley,DIMEV 4274
alchemical poems,George Ripley,DIMEV 4274
alchemical poems,George Ripley,DIMEV 5211
illustrations,George Ripley,DIMEV 5211
alchemy,George Ripley,DIMEV 680
Edward IV,George Ripley,DIMEV 680
alchemy,George Ripley,DIMEV 975
Edward IV,George Ripley,DIMEV 975
